,Ori. ,Dest.,Connect movement,PC Mov. Id,Co-load on,Original mov. Id,Org. GTW,Dst. GTW,STD,Offset,STA,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,Load M.,Kg per M.,Remarks,Travel Time,Travel time,Distance in km,Contract By,Costs,Cost beared by,Operator,Costs per km,Combined with Mov.,Unnamed: 31,DE,cost per hour,cost per km
77,DE,NL,Y,PCDE46NL03C,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 07:30:00,0.0,1900-01-03 09:55:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,02:25:00,2.41666666666667,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
78,DE,NL,Y,PCDE46NL03D,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 07:50:00,0.0,1900-01-03 10:15:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,02:25:00,2.41666666666667,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
79,DE,NL,Y,PCDE46NL03E,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 08:10:00,0.0,1900-01-03 11:10:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,0.125,3.0,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
80,DE,NL,Y,PCDE46NL03F,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 08:30:00,0.0,1900-01-03 11:30:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,0.125,3.0,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
81,DE,NL,Y,PCDE46NL03G,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 08:50:00,0.0,1900-01-03 11:50:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,0.125,3.0,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
82,DE,NL,Y,PCDE46NL03H,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 09:10:00,0.0,1900-01-03 12:10:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,0.125,3.0,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
83,DE,NL,Y,PCDE46NL03I,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 09:30:00,0.0,1900-01-03 12:30:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,0.125,3.0,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
84,DE,LU,Y,PCDE50LU01A,Weltpaket (DPI),CGN BET 01,Köln,Bettembourg,1900-01-03 07:00:00,0.0,1900-01-03 11:00:00,X,X,X,X,X,,,Trailer,13.6,562,,0.1666666666666670,4.0,240,DEUTSCHE POST,485,DPDHL,Ellenbürger,2.02083333333333,,,1,121.25,2.0208333333333300
85,DE,LU,Y,PCDE50LU01B,Weltpaket (DPI),CGN BET 02,Köln,Bettembourg,1900-01-03 05:00:00,0.0,1900-01-03 09:00:00,X,X,X,X,,,,Trailer,13.6,562,,0.1666666666666670,4.0,240,DEUTSCHE POST,430,DPDHL,Agility,1.79166666666667,,,1,107.5,1.7916666666666700
86,DE,LU,Y,PCDE50LU01C,Weltpaket (DPI),CGN BET 51,Köln,Bettembourg,1900-01-03 05:00:00,0.0,1900-01-03 09:00:00,X,,,,X,,,Trailer,13.6,562,,0.1666666666666670,4.0,240,DEUTSCHE POST,510,DPDHL,Agility,2.125,,,1,127.5,2.125
87,DE,GB,Y,PCDE46GB01A,Weltpaket (DPI),DON RYN 01,Dorsten,Ryton Gateway,1900-01-03 03:30:00,0.0,1900-01-03 16:30:00,,X,X,X,X,X,,Trailer,13.6,562,,0.5416666666666670,13.0,800,DEUTSCHE POST,0,DPDHL,DHL Köln (Heinloth),0,,,1,0.0,0.0
88,DE,GB,Y,PCDE46GB01B,Weltpaket (DPI),DON RYN 02,Dorsten,Ryton Gateway,1900-01-03 05:30:00,0.0,1900-01-03 18:00:00,X,X,X,X,X,,,Trailer,13.6,562,,12:30:00,12.5,800,DEUTSCHE POST,0,DPDHL,DHL Köln (Heinloth),0,,,1,0.0,0.0
89,AT,PL,Y,ATCZPL01,,,Hagenbrunn,Zabrze,1900-01-03 06:00:00,0.0,1900-01-03 15:00:00,X,X,X,X,X,,,Trailer,13.6,562,"Cost Share Model: AT 45,99%, PL 37,70%, CZ 16,31%",0.375,9.0,386,PPL,417.5,Shared,,,Milkrun Hagenbrunn - Brno - Ostrava - Zabrze,,0,46.388888888888900,1.0816062176165800
90,AT,CZ,Y,ATCZPL01,,,Hagenbrunn,Zabrze,1900-01-03 06:00:00,0.0,1900-01-03 15:00:00,X,X,X,X,X,,,Trailer,13.6,562,"Cost Share Model: AT 45,99%, PL 37,70%, CZ 16,31%",0.375,9.0,386,PPL,417.5,Shared,,,Milkrun Hagenbrunn - Brno - Ostrava - Zabrze,,0,46.388888888888900,1.0816062176165800
91,AT,CZ,Y,ATCZPL01,,,Hagenbrunn,Brno,1900-01-03 06:00:00,0.0,1900-01-03 09:30:00,X,X,X,X,X,,,Trailer,13.6,562,"Cost Share Model: AT 45,99%, PL 37,70%, CZ 16,31%",03:30:00,3.5,130,PPL,0,Shared,,,Milkrun Hagenbrunn - Brno - Ostrava - Zabrze,,0,0.0,0.0
92,DE,PL,Y,PCDE042PL06A,Weltpaket (DPI),LEJ WRO 01,Radefeld,Wroclaw,1900-01-03 06:00:00,0.0,1900-01-03 13:00:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,0.2916666666666670,7.0,380,DEUTSCHE POST,450,DPDHL,DHL Wustermark,1.18421052631579,,,1,64.28571428571430,1.1842105263157900
93,DE,PL,Y,PCDE042PL02A,Weltpaket (DPI),LEJ KRI 01,Radefeld,Koninko,1900-01-03 07:15:00,0.0,1900-01-03 14:45:00,X,X,X,X,X,X,,2 swap bodies,14.9,562,,07:30:00,7.5,445,DEUTSCHE POST,605,DPDHL,DHL Wustermark,1.35955056179775,,,1,80.66666666666670,1.3595505617977500
94,DE,PL,Y,PCDE042PL08A,Weltpaket (DPI),LEJ SOI 01,Radefeld,Bydgoszcz,1900-01-03 06:30:00,0.0,1900-01-03 14:15:00,X,,X,,X,,,2 swap bodies,14.9,562,,07:45:00,7.75,551,DEUTSCHE POST,780,DPDHL,DHL Wustermark,1.41560798548094,,,1,100.64516129032300,1.4156079854809400
95,DE,IE,Y,PCDE502IE01A,Weltpaket (DPI),CGN DUB 01,Köln,Dublin,1900-01-03 07:00:00,1.0,1900-01-03 20:00:00,X,X,X,X,X,X,,Trailer,13.6,562,,39:30,37.0,1282,DEUTSCHE POST,2565,DPDHL,DHL Würselen,2.00078003120125,,,1,69.32432432432430,2.000780031201250
96,DE,IE,Y,PCDE502IE01B,Weltpaket (DPI),CGN DUB 02,Köln,Dublin,1900-01-03 03:00:00,1.0,1900-01-03 17:30:00,,X,X,X,X,,,Trailer,13.6,562,,38:00,38.5,1282,DEUTSCHE POST,2565,DPDHL,DHL Würselen,2.00078003120125,,,1,66.62337662337660,2.000780031201250
97,NL,IE,Y,PCNL03IE01A,,PEP_ZLB_DUB_BAL_POR,Zaltbommel,Dublin,1900-01-03 03:00:00,1.0,1900-01-03 11:00:00,,X,X,X,,,,Trailer,13.6,470,,32:00,32.0,1166,EURONET KÖLN,0,Benelux,DHL Global Forwarding,,,,0,0.0,0.0
98,NL,CZ,Y,PCNL012CZ04A,,PEP_EIN_PLZ_01,EINDHOVEN,Plzen,1900-01-03 03:00:00,0.0,1900-01-03 15:00:00,,X,X,X,X,,,Trailer,13.6,470,,0.5,12.0,749,EURONET KÖLN,0,Benelux,DHL Freight (Netherlands) B.V.  ,,,,0,0.0,0.0
99,NL,CZ,Y,PCNL012CZ04A,,PEP_EIN_PLZ_01,EINDHOVEN,Plzen,1900-01-03 03:00:00,2.0,1900-01-03 13:00:00,,,,,,X,,Trailer,13.6,470,,58:00,58.0,749,EURONET KÖLN,0,Benelux,DHL Freight (Netherlands) B.V.  ,,,,0,0.0,0.0
100,NL,GB,Y,PCNL01GB01E,,PEP_EIN_RYT_05,EINDHOVEN,Ryton Gateway,1900-01-03 03:00:00,0.0,1900-01-03 16:00:00,,X,X,X,X,,,Trailer,13.6,470,,,13.0,620,EURONET KÖLN,0,Benelux,Heinloth,,,,0,0.0,0.0
101,NL,GB,Y,PCNL01GB01E,,PEP_EIN_RYT_05,EINDHOVEN,Ryton Gateway,1900-01-03 03:00:00,1.0,1900-01-03 13:00:00,,,,,,X,,Trailer,13.6,470,SORTED ON SUNDAY'S,,34.0,620,EURONET KÖLN,0,Benelux,Heinloth,,,,0,0.0,0.0
102,DE,GR,Y,PCDE902GR01A,Weltpaket (DPI),NUE SPT 01,Feucht,Spata,1900-01-03 11:00:00,3.0,1900-01-03 06:45:00,X,X,X,X,X,,,Trailer,13.6,562,,77:45,67.75,2225,DEUTSCHE POST,3400,DPDHL,Wildenhofer,1.52808988764045,,,1,50.18450184501850,1.5280898876404500
103,DE,RO,Y,PCDE902RO02A,Weltpaket (DPI),NUE OMR 01,Feucht,Oradea,1900-01-03 06:30:00,1.0,1900-01-03 09:00:00,,X,X,X,X,X,,Trailer,13.6,562,,26:30,26.5,1072,DEUTSCHE POST,2065,DPDHL,Geis T & L,1.92630597014925,,,1,77.9245283018868,1.9263059701492500
104,DE,HU,Y,PCDE902HU01A,Weltpaket (DPI),NUE BUD 01,Feucht,Budapest,1900-01-03 07:00:00,0.0,1900-01-03 20:30:00,,X,X,X,X,X,,Trailer,13.6,562,,13:30:00,13.5,752,DEUTSCHE POST,891.27,DPDHL,Heinloth Trans East,1.18519946808511,,,1,66.02,1.1851994680851100
