,0,1,2,3
275,BE,SE,GB,-0.0
276,BE,SI,GB,-0.0
277,BE,SK,GB,-0.0
278,BE,DK,GB,-0.0
279,BE,FR,GB,-0.0
280,BE,GR,GB,-0.0
281,BE,HR,GB,-0.0
282,BE,IE,GB,-0.0
283,BE,LU,GB,-0.0
284,BE,NO,GB,-0.0
285,BE,RO,GB,-0.0
286,BE,AT,GR,0.0
287,BE,BG,GR,0.0
288,BE,CZ,GR,-0.0
289,BE,DE,GR,0.0
290,BE,ES,GR,-0.0
291,BE,FL,GR,-0.0
292,BE,GB,GR,-0.0
293,BE,HU,GR,-0.0
294,BE,LT,GR,0.0
295,BE,NL,GR,1.0
296,BE,PL,GR,-0.0
297,BE,PT,GR,0.0
298,BE,SE,GR,-0.0
299,BE,SI,GR,0.0
300,BE,SK,GR,-0.0
301,BE,DK,GR,0.0
302,BE,FR,GR,0.0
303,BE,HR,GR,0.0
304,BE,IE,GR,-0.0
305,BE,LU,GR,0.0
306,BE,NO,GR,0.0
307,BE,RO,GR,0.0
308,BE,AT,HR,1.0
309,BE,BG,HR,0.0
310,BE,CZ,HR,-0.0
311,BE,DE,HR,-0.0
312,BE,ES,HR,0.0
313,BE,FL,HR,-0.0
314,BE,GB,HR,-0.0
315,BE,HU,HR,-0.0
316,BE,LT,HR,0.0
317,BE,NL,HR,-0.0
318,BE,PL,HR,-0.0
319,BE,PT,HR,0.0
320,BE,SE,HR,0.0
321,BE,SI,HR,0.0
322,BE,SK,HR,-0.0
323,BE,DK,HR,0.0
324,BE,FR,HR,0.0
325,BE,GR,HR,0.0
326,BE,IE,HR,-0.0
327,BE,LU,HR,0.0
328,BE,NO,HR,0.0
329,BE,RO,HR,0.0
330,BE,AT,HU,0.0
331,BE,BG,HU,-0.0
332,BE,CZ,HU,-0.0
333,BE,DE,HU,1.0
334,BE,ES,HU,-0.0
335,BE,FL,HU,-0.0
336,BE,GB,HU,0.0
337,BE,LT,HU,-0.0
338,BE,NL,HU,-0.0
339,BE,PL,HU,-0.0
340,BE,PT,HU,-0.0
341,BE,SE,HU,-0.0
342,BE,SI,HU,-0.0
343,BE,SK,HU,-0.0
344,BE,DK,HU,0.0
345,BE,FR,HU,0.0
346,BE,GR,HU,-0.0
347,BE,HR,HU,-0.0
348,BE,IE,HU,-0.0
349,BE,LU,HU,-0.0
350,BE,NO,HU,-0.0
351,BE,RO,HU,-0.0
352,BE,AT,IE,-0.0
353,BE,BG,IE,-0.0
354,BE,CZ,IE,-0.0
355,BE,DE,IE,-0.0
356,BE,ES,IE,-0.0
357,BE,FL,IE,-0.0
358,BE,GB,IE,1.0
359,BE,HU,IE,-0.0
360,BE,LT,IE,-0.0
361,BE,NL,IE,-0.0
362,BE,PL,IE,-0.0
363,BE,PT,IE,-0.0
364,BE,SE,IE,-0.0
365,BE,SI,IE,-0.0
366,BE,SK,IE,-0.0
367,BE,DK,IE,-0.0
368,BE,FR,IE,-0.0
369,BE,GR,IE,-0.0
370,BE,HR,IE,-0.0
371,BE,LU,IE,-0.0
372,BE,NO,IE,-0.0
373,BE,RO,IE,-0.0
374,BE,AT,LT,-0.0
375,BE,BG,LT,0.0
376,BE,CZ,LT,-0.0
377,BE,DE,LT,-0.0
378,BE,ES,LT,0.0
379,BE,FL,LT,0.0
380,BE,GB,LT,-0.0
381,BE,HU,LT,-0.0
382,BE,NL,LT,-0.0
383,BE,PL,LT,1.0
384,BE,PT,LT,0.0
385,BE,SE,LT,-0.0
386,BE,SI,LT,0.0
387,BE,SK,LT,-0.0
388,BE,DK,LT,0.0
389,BE,FR,LT,0.0
390,BE,GR,LT,0.0
391,BE,HR,LT,0.0
392,BE,IE,LT,-0.0
393,BE,LU,LT,0.0
394,BE,NO,LT,0.0
395,BE,RO,LT,0.0
396,BE,AT,PL,0.0
397,BE,BG,PL,-0.0
398,BE,CZ,PL,-0.0
399,BE,DE,PL,0.0
400,BE,ES,PL,-0.0
401,BE,FL,PL,-0.0
402,BE,GB,PL,-0.0
403,BE,HU,PL,-0.0
404,BE,LT,PL,-0.0
405,BE,NL,PL,0.0
406,BE,PT,PL,-0.0
407,BE,SE,PL,-0.0
408,BE,SI,PL,-0.0
409,BE,SK,PL,-0.0
410,BE,DK,PL,-0.0
411,BE,FR,PL,-0.0
412,BE,GR,PL,-0.0
413,BE,HR,PL,-0.0
414,BE,IE,PL,-0.0
415,BE,LU,PL,-0.0
416,BE,NO,PL,-0.0
417,BE,RO,PL,-0.0
418,BE,AT,PT,-0.0
419,BE,BG,PT,0.0
420,BE,CZ,PT,-0.0
421,BE,DE,PT,0.0
422,BE,ES,PT,1.0
423,BE,FL,PT,-0.0
424,BE,GB,PT,-0.0
425,BE,HU,PT,-0.0
426,BE,LT,PT,0.0
427,BE,NL,PT,0.0
428,BE,PL,PT,-0.0
429,BE,SE,PT,-0.0
430,BE,SI,PT,0.0
431,BE,SK,PT,-0.0
432,BE,DK,PT,0.0
433,BE,FR,PT,0.0
434,BE,GR,PT,0.0
435,BE,HR,PT,0.0
436,BE,IE,PT,-0.0
437,BE,LU,PT,0.0
438,BE,NO,PT,0.0
439,BE,RO,PT,0.0
440,BE,AT,SE,0.0
441,BE,BG,SE,-0.0
442,BE,CZ,SE,0.0
443,BE,DE,SE,0.0
444,BE,ES,SE,-0.0
445,BE,FL,SE,-0.0
446,BE,GB,SE,-0.0
447,BE,HU,SE,-0.0
448,BE,LT,SE,-0.0
449,BE,NL,SE,-0.0
450,BE,PL,SE,0.0
451,BE,PT,SE,-0.0
452,BE,SI,SE,-0.0
453,BE,SK,SE,-0.0
454,BE,DK,SE,1.0
455,BE,FR,SE,-0.0
456,BE,GR,SE,-0.0
457,BE,HR,SE,-0.0
458,BE,IE,SE,-0.0
459,BE,LU,SE,-0.0
460,BE,NO,SE,-0.0
461,BE,RO,SE,-0.0
462,BE,AT,SI,0.0
463,BE,BG,SI,0.0
464,BE,CZ,SI,-0.0
465,BE,DE,SI,1.0
466,BE,ES,SI,0.0
467,BE,FL,SI,-0.0
468,BE,GB,SI,-0.0
469,BE,HU,SI,-0.0
470,BE,LT,SI,0.0
471,BE,NL,SI,-0.0
472,BE,PL,SI,-0.0
473,BE,PT,SI,0.0
474,BE,SE,SI,0.0
475,BE,SK,SI,-0.0
476,BE,DK,SI,0.0
477,BE,FR,SI,0.0
478,BE,GR,SI,0.0
479,BE,HR,SI,0.0
480,BE,IE,SI,-0.0
481,BE,LU,SI,0.0
482,BE,NO,SI,0.0
483,BE,RO,SI,0.0
484,BE,AT,SK,0.0
485,BE,BG,SK,-0.0
486,BE,CZ,SK,0.0
487,BE,DE,SK,1.0
488,BE,ES,SK,-0.0
489,BE,FL,SK,-0.0
490,BE,GB,SK,0.0
491,BE,HU,SK,0.0
492,BE,LT,SK,0.0
493,BE,NL,SK,-0.0
494,BE,PL,SK,-0.0
495,BE,PT,SK,-0.0
496,BE,SE,SK,0.0
497,BE,SI,SK,0.0
498,BE,DK,SK,0.0
499,BE,FR,SK,-0.0
500,BE,GR,SK,-0.0
501,BE,HR,SK,0.0
502,BE,IE,SK,-0.0
503,BE,LU,SK,-0.0
504,BE,NO,SK,-0.0
505,BE,RO,SK,-0.0
506,BG,BE,AT,-0.0
507,BG,CZ,AT,0.0
508,BG,DE,AT,0.0
509,BG,ES,AT,0.0
510,BG,FL,AT,-0.0
511,BG,GB,AT,-0.0
512,BG,HU,AT,0.0
513,BG,LT,AT,-0.0
514,BG,NL,AT,-0.0
515,BG,PL,AT,0.0
516,BG,PT,AT,-0.0
517,BG,SE,AT,-0.0
518,BG,SI,AT,0.0
519,BG,SK,AT,-0.0
520,BG,DK,AT,-0.0
521,BG,FR,AT,-0.0
522,BG,GR,AT,-0.0
523,BG,HR,AT,-0.0
524,BG,IE,AT,-0.0
525,BG,LU,AT,-0.0
526,BG,NO,AT,-0.0
527,BG,RO,AT,-0.0
528,BG,AT,DE,0.0
529,BG,BE,DE,-0.0
530,BG,CZ,DE,-0.0
531,BG,ES,DE,-0.0
532,BG,FL,DE,-0.0
533,BG,GB,DE,-0.0
534,BG,HU,DE,1.0
535,BG,LT,DE,-0.0
536,BG,NL,DE,-0.0
537,BG,PL,DE,-0.0
538,BG,PT,DE,-0.0
539,BG,SE,DE,-0.0
540,BG,SI,DE,0.0
541,BG,SK,DE,-0.0
542,BG,DK,DE,-0.0
543,BG,FR,DE,-0.0
544,BG,GR,DE,-0.0
545,BG,HR,DE,0.0
546,BG,IE,DE,-0.0
547,BG,LU,DE,-0.0
548,BG,NO,DE,-0.0
549,BG,RO,DE,-0.0
550,BG,AT,ES,0.0
551,BG,BE,ES,-0.0
552,BG,CZ,ES,-0.0
553,BG,DE,ES,-0.0
554,BG,FL,ES,-0.0
555,BG,GB,ES,-0.0
