,Ori_Hub,Dest_Hub,Nights
112,PZ 93 (Regensburg)-DE,Wals-AT,-0.0
113,Plzen 1-CZ,Barcelona-ES,1.0
114,Poznań-PL,Brüssel-BE,1.0
115,Poznań-PL,Dublin-IE,2.0
116,Poznań-PL,Eindhoven-Noord-NL,1.0
117,Poznań-PL,Kaunas-LT,1.0
118,Poznań-PL,Kolding-DK,-0.0
119,Poznań-PL,Malmö-SE,1.0
120,Poznań-PL,PZ 15 (Rüdersdorf)-DE,-0.0
121,Poznań-PL,Slough-GB,1.0
122,Slough-GB,Araba (Vitoria)-ES,1.0
123,Slough-GB,Bettembourg-LU,-0.0
124,Slough-GB,Brüssel-BE,-0.0
125,Slough-GB,Budapest OLK-HU,1.0
126,Slough-GB,Combs la ville-FR,1.0
127,Slough-GB,Dublin-IE,1.0
128,Slough-GB,Eindhoven-Noord-NL,1.0
129,Slough-GB,Ivanka pri Dunaji-SK,1.0
130,Slough-GB,PZ 47 (Krefeld)-DE,1.0
131,Slough-GB,Wals-AT,1.0
132,Sofia-BG,Budapest OLK-HU,1.0
133,Sofia-BG,Hub Wien I-AT,1.0
134,Sofia-BG,Kaunas-LT,2.0
135,Sofia-BG,Wrocław-PL,1.0
136,Stockholm - Västberga-SE,Lieto (Turku)-FL,1.0
137,Suwałki (Ełk)-PL,Kaunas-LT,-0.0
138,Suwałki (Ełk)-PL,Ostrava-CZ,-0.0
139,Suwałki (Ełk)-PL,Vantaa (Helsinki)-FL,1.0
140,Vantaa (Helsinki)-FL,Hub Wien I-AT,2.0
141,Vantaa (Helsinki)-FL,Suwałki (Ełk)-PL,1.0
142,Wals-AT,Oradea-RO,1.0
143,Wals-AT,PZ 93 (Regensburg)-DE,-0.0
144,Wals-AT,Sofia-BG,1.0
145,Wals-AT,Zagreb-HR,-0.0
146,Wrocław-PL,Barcelona-ES,2.0
147,Wrocław-PL,Bettembourg-LU,1.0
148,Wrocław-PL,Lisboa-PT,3.0
149,Zabrze-PL,Budapest OLK-HU,-0.0
150,Zabrze-PL,Hagenbrunn-AT,-0.0
151,Zabrze-PL,Ljubljana-SI,1.0
152,Zabrze-PL,Oradea-RO,1.0
153,Zabrze-PL,Ostrava-CZ,-0.0
154,Zabrze-PL,Sofia-BG,1.0
155,Zabrze-PL,Zagreb-HR,1.0
156,Zabrze-PL,Zilina- Strecno-SK,-0.0
157,Zaltbommel-NL,Malmö-SE,1.0
158,Zaltbommel-NL,Poznań-PL,1.0
