,0,1,2
392,Plzen 1-CZ,Sofia-BG,-0.0
393,Hradec Kralove - Brezhrad-CZ,Sofia-BG,-0.0
394,Ricany -CZ,Sofia-BG,-0.0
395,Zlin-CZ,Sofia-BG,-0.0
396,Olomouc-CZ,Sofia-BG,-0.0
397,Brno-CZ,Kolding-DK,-0.0
398,Ostrava-CZ,Kolding-DK,-0.0
399,Krupka 1-CZ,Kolding-DK,-0.0
400,Plzen 1-CZ,Kolding-DK,-0.0
401,Hradec Kralove - Brezhrad-CZ,Kolding-DK,-0.0
402,Ricany -CZ,Kolding-DK,-0.0
403,Zlin-CZ,Kolding-DK,-0.0
404,Olomouc-CZ,Kolding-DK,-0.0
405,Brno-CZ,Combs la ville-FR,-0.0
406,Ostrava-CZ,Combs la ville-FR,-0.0
407,Krupka 1-CZ,Combs la ville-FR,-0.0
408,Plzen 1-CZ,Combs la ville-FR,-0.0
409,Hradec Kralove - Brezhrad-CZ,Combs la ville-FR,-0.0
410,Ricany -CZ,Combs la ville-FR,-0.0
411,Zlin-CZ,Combs la ville-FR,-0.0
412,Olomouc-CZ,Combs la ville-FR,-0.0
413,Brno-CZ,Slough-GB,-0.0
414,Brno-CZ,Ryton Gateway-GB,-0.0
415,Ostrava-CZ,Slough-GB,-0.0
416,Ostrava-CZ,Ryton Gateway-GB,-0.0
417,Krupka 1-CZ,Slough-GB,-0.0
418,Krupka 1-CZ,Ryton Gateway-GB,-0.0
419,Plzen 1-CZ,Slough-GB,-0.0
420,Plzen 1-CZ,Ryton Gateway-GB,-0.0
421,Hradec Kralove - Brezhrad-CZ,Slough-GB,-0.0
422,Hradec Kralove - Brezhrad-CZ,Ryton Gateway-GB,-0.0
423,Ricany -CZ,Slough-GB,-0.0
424,Ricany -CZ,Ryton Gateway-GB,-0.0
425,Zlin-CZ,Slough-GB,-0.0
426,Zlin-CZ,Ryton Gateway-GB,-0.0
427,Olomouc-CZ,Slough-GB,-0.0
428,Olomouc-CZ,Ryton Gateway-GB,-0.0
429,Brno-CZ,Spata-GR,-0.0
430,Ostrava-CZ,Spata-GR,-0.0
431,Krupka 1-CZ,Spata-GR,-0.0
432,Plzen 1-CZ,Spata-GR,-0.0
433,Hradec Kralove - Brezhrad-CZ,Spata-GR,-0.0
434,Ricany -CZ,Spata-GR,-0.0
435,Zlin-CZ,Spata-GR,-0.0
436,Olomouc-CZ,Spata-GR,-0.0
437,Brno-CZ,Zagreb-HR,-0.0
438,Ostrava-CZ,Zagreb-HR,-0.0
439,Krupka 1-CZ,Zagreb-HR,-0.0
440,Plzen 1-CZ,Zagreb-HR,-0.0
441,Hradec Kralove - Brezhrad-CZ,Zagreb-HR,-0.0
442,Ricany -CZ,Zagreb-HR,-0.0
443,Zlin-CZ,Zagreb-HR,-0.0
444,Olomouc-CZ,Zagreb-HR,-0.0
445,Brno-CZ,Ljubljana-SI,-0.0
446,Ostrava-CZ,Ljubljana-SI,-0.0
447,Krupka 1-CZ,Ljubljana-SI,-0.0
448,Plzen 1-CZ,Ljubljana-SI,-0.0
449,Hradec Kralove - Brezhrad-CZ,Ljubljana-SI,-0.0
