,0,1,2
287,Hagenbrunn-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
288,Allhaming-AT,Suwałki (Ełk)-PL,-0.0
289,Allhaming-AT,Poznań-PL,-0.0
290,Allhaming-AT,Zabrze-PL,-0.0
291,Allhaming-AT,Koninko-PL,-0.0
292,Allhaming-AT,Wrocław-PL,-0.0
293,Allhaming-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
294,Enns-AT,Suwałki (Ełk)-PL,-0.0
295,Enns-AT,Poznań-PL,-0.0
296,Enns-AT,Zabrze-PL,-0.0
297,Enns-AT,Koninko-PL,-0.0
298,Enns-AT,Wrocław-PL,-0.0
299,Enns-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
300,Wernberg-AT,Suwałki (Ełk)-PL,-0.0
301,Wernberg-AT,Poznań-PL,-0.0
302,Wernberg-AT,Zabrze-PL,-0.0
303,Wernberg-AT,Koninko-PL,-0.0
304,Wernberg-AT,Wrocław-PL,-0.0
305,Wernberg-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
306,Wals-AT,Suwałki (Ełk)-PL,-0.0
307,Wals-AT,Poznań-PL,-0.0
308,Wals-AT,Zabrze-PL,-0.0
309,Wals-AT,Koninko-PL,-0.0
310,Wals-AT,Wrocław-PL,-0.0
311,Wals-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
312,Hall in Tirol-AT,Suwałki (Ełk)-PL,-0.0
313,Hall in Tirol-AT,Poznań-PL,-0.0
314,Hall in Tirol-AT,Zabrze-PL,-0.0
315,Hall in Tirol-AT,Koninko-PL,-0.0
316,Hall in Tirol-AT,Wrocław-PL,-0.0
317,Hall in Tirol-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
318,Liesing-AT,Suwałki (Ełk)-PL,-0.0
319,Liesing-AT,Poznań-PL,-0.0
320,Liesing-AT,Zabrze-PL,-0.0
321,Liesing-AT,Koninko-PL,-0.0
322,Liesing-AT,Wrocław-PL,-0.0
323,Liesing-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
324,Wundschuh-AT,Suwałki (Ełk)-PL,-0.0
325,Wundschuh-AT,Poznań-PL,-0.0
326,Wundschuh-AT,Zabrze-PL,-0.0
327,Wundschuh-AT,Koninko-PL,-0.0
328,Wundschuh-AT,Wrocław-PL,-0.0
329,Wundschuh-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
330,Brüssel-BE,Hub Wien I-AT,-0.0
331,Brüssel-BE,Hub Wien II-AT,-0.0
332,Brüssel-BE,Hub Graz-AT,-0.0
333,Brüssel-BE,Hagenbrunn-AT,-0.0
334,Brüssel-BE,Allhaming-AT,-0.0
335,Brüssel-BE,Enns-AT,-0.0
336,Brüssel-BE,Wernberg-AT,-0.0
337,Brüssel-BE,Wals-AT,1.0
338,Brüssel-BE,Hall in Tirol-AT,-0.0
339,Brüssel-BE,Liesing-AT,-0.0
340,Brüssel-BE,Wundschuh-AT,-0.0
341,Brüssel-BE,Sofia-BG,-0.0
342,Brüssel-BE,Brno-CZ,0.0
343,Brüssel-BE,Ostrava-CZ,-0.0
344,Brüssel-BE,Krupka 1-CZ,-0.0
345,Brüssel-BE,Plzen 1-CZ,-0.0
346,Brüssel-BE,Hradec Kralove - Brezhrad-CZ,0.0
347,Brüssel-BE,Ricany -CZ,-0.0
348,Brüssel-BE,Zlin-CZ,0.0
349,Brüssel-BE,Olomouc-CZ,0.0
350,Brüssel-BE,PZ 67 (Speyer)-DE,-0.0
351,Brüssel-BE,PZ 50 (Köln)-DE,-0.0
352,Brüssel-BE,PZ 04 (Radefeld/Leipzig)-DE,-0.0
353,Brüssel-BE,PZ 90 (Feucht/Nürnberg)-DE,-0.0
354,Brüssel-BE,PZ 77 (Lahr)-DE,-0.0
355,Brüssel-BE,PZ 93 (Regensburg)-DE,-0.0
356,Brüssel-BE,PZ 21 (Hamburg)-DE,-0.0
357,Brüssel-BE,PZ 46 (Dorsten)-DE,-0.0
358,Brüssel-BE,PZ 58 (Hagen)-DE,-0.0
359,Brüssel-BE,PZ 08 (Neumark)-DE,-0.0
360,Brüssel-BE,PZ 47 (Krefeld)-DE,1.0
361,Brüssel-BE,PZ 15 (Rüdersdorf)-DE,-0.0
362,Brüssel-BE,PZ 24 (Neumünster)-DE,-0.0
