,0,1,2,3
149,Hub Graz-AT,Madrid-ES,Co-loading,0
150,Hub Graz-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
151,Hub Graz-AT,Araba (Vitoria)-ES,Swap Body,0
152,Hub Graz-AT,Araba (Vitoria)-ES,Trailer,0
153,Hub Graz-AT,Araba (Vitoria)-ES,Van,0
154,Hub Graz-AT,Araba (Vitoria)-ES,Co-loading,0
155,Hagenbrunn-AT,Barcelona-ES,2 Swap Bodies,0
156,Hagenbrunn-AT,Barcelona-ES,Swap Body,0
157,Hagenbrunn-AT,Barcelona-ES,Trailer,0
158,Hagenbrunn-AT,Barcelona-ES,Van,0
159,Hagenbrunn-AT,Barcelona-ES,Co-loading,0
160,Hagenbrunn-AT,Madrid-ES,2 Swap Bodies,0
161,Hagenbrunn-AT,Madrid-ES,Swap Body,0
162,Hagenbrunn-AT,Madrid-ES,Trailer,0
163,Hagenbrunn-AT,Madrid-ES,Van,0
164,Hagenbrunn-AT,Madrid-ES,Co-loading,0
165,Hagenbrunn-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
166,Hagenbrunn-AT,Araba (Vitoria)-ES,Swap Body,0
167,Hagenbrunn-AT,Araba (Vitoria)-ES,Trailer,0
168,Hagenbrunn-AT,Araba (Vitoria)-ES,Van,0
169,Hagenbrunn-AT,Araba (Vitoria)-ES,Co-loading,0
170,Allhaming-AT,Barcelona-ES,2 Swap Bodies,0
171,Allhaming-AT,Barcelona-ES,Swap Body,0
172,Allhaming-AT,Barcelona-ES,Trailer,0
173,Allhaming-AT,Barcelona-ES,Van,0
174,Allhaming-AT,Barcelona-ES,Co-loading,0
175,Allhaming-AT,Madrid-ES,2 Swap Bodies,0
176,Allhaming-AT,Madrid-ES,Swap Body,0
177,Allhaming-AT,Madrid-ES,Trailer,0
178,Allhaming-AT,Madrid-ES,Van,0
179,Allhaming-AT,Madrid-ES,Co-loading,0
180,Allhaming-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
181,Allhaming-AT,Araba (Vitoria)-ES,Swap Body,0
182,Allhaming-AT,Araba (Vitoria)-ES,Trailer,0
183,Allhaming-AT,Araba (Vitoria)-ES,Van,0
184,Allhaming-AT,Araba (Vitoria)-ES,Co-loading,0
185,Enns-AT,Barcelona-ES,2 Swap Bodies,0
186,Enns-AT,Barcelona-ES,Swap Body,0
187,Enns-AT,Barcelona-ES,Trailer,0
188,Enns-AT,Barcelona-ES,Van,0
189,Enns-AT,Barcelona-ES,Co-loading,0
190,Enns-AT,Madrid-ES,2 Swap Bodies,0
191,Enns-AT,Madrid-ES,Swap Body,0
192,Enns-AT,Madrid-ES,Trailer,0
193,Enns-AT,Madrid-ES,Van,0
194,Enns-AT,Madrid-ES,Co-loading,0
195,Enns-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
196,Enns-AT,Araba (Vitoria)-ES,Swap Body,0
197,Enns-AT,Araba (Vitoria)-ES,Trailer,0
198,Enns-AT,Araba (Vitoria)-ES,Van,0
199,Enns-AT,Araba (Vitoria)-ES,Co-loading,0
200,Wernberg-AT,Barcelona-ES,2 Swap Bodies,0
201,Wernberg-AT,Barcelona-ES,Swap Body,0
202,Wernberg-AT,Barcelona-ES,Trailer,0
203,Wernberg-AT,Barcelona-ES,Van,0
204,Wernberg-AT,Barcelona-ES,Co-loading,0
205,Wernberg-AT,Madrid-ES,2 Swap Bodies,0
206,Wernberg-AT,Madrid-ES,Swap Body,0
207,Wernberg-AT,Madrid-ES,Trailer,0
208,Wernberg-AT,Madrid-ES,Van,0
209,Wernberg-AT,Madrid-ES,Co-loading,0
210,Wernberg-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
211,Wernberg-AT,Araba (Vitoria)-ES,Swap Body,0
212,Wernberg-AT,Araba (Vitoria)-ES,Trailer,0
213,Wernberg-AT,Araba (Vitoria)-ES,Van,0
214,Wernberg-AT,Araba (Vitoria)-ES,Co-loading,0
215,Wals-AT,Barcelona-ES,2 Swap Bodies,0
216,Wals-AT,Barcelona-ES,Swap Body,0
217,Wals-AT,Barcelona-ES,Trailer,0
218,Wals-AT,Barcelona-ES,Van,0
219,Wals-AT,Barcelona-ES,Co-loading,0
220,Wals-AT,Madrid-ES,2 Swap Bodies,0
221,Wals-AT,Madrid-ES,Swap Body,0
222,Wals-AT,Madrid-ES,Trailer,0
223,Wals-AT,Madrid-ES,Van,0
224,Wals-AT,Madrid-ES,Co-loading,0
225,Wals-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
226,Wals-AT,Araba (Vitoria)-ES,Swap Body,0
227,Wals-AT,Araba (Vitoria)-ES,Trailer,0
228,Wals-AT,Araba (Vitoria)-ES,Van,0
229,Wals-AT,Araba (Vitoria)-ES,Co-loading,0
230,Hall in Tirol-AT,Barcelona-ES,2 Swap Bodies,0
231,Hall in Tirol-AT,Barcelona-ES,Swap Body,0
232,Hall in Tirol-AT,Barcelona-ES,Trailer,0
233,Hall in Tirol-AT,Barcelona-ES,Van,0
234,Hall in Tirol-AT,Barcelona-ES,Co-loading,0
235,Hall in Tirol-AT,Madrid-ES,2 Swap Bodies,0
236,Hall in Tirol-AT,Madrid-ES,Swap Body,0
237,Hall in Tirol-AT,Madrid-ES,Trailer,0
238,Hall in Tirol-AT,Madrid-ES,Van,0
239,Hall in Tirol-AT,Madrid-ES,Co-loading,0
240,Hall in Tirol-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
241,Hall in Tirol-AT,Araba (Vitoria)-ES,Swap Body,0
242,Hall in Tirol-AT,Araba (Vitoria)-ES,Trailer,0
243,Hall in Tirol-AT,Araba (Vitoria)-ES,Van,0
244,Hall in Tirol-AT,Araba (Vitoria)-ES,Co-loading,0
245,Liesing-AT,Barcelona-ES,2 Swap Bodies,0
246,Liesing-AT,Barcelona-ES,Swap Body,0
247,Liesing-AT,Barcelona-ES,Trailer,0
248,Liesing-AT,Barcelona-ES,Van,0
249,Liesing-AT,Barcelona-ES,Co-loading,0
250,Liesing-AT,Madrid-ES,2 Swap Bodies,0
251,Liesing-AT,Madrid-ES,Swap Body,0
252,Liesing-AT,Madrid-ES,Trailer,0
253,Liesing-AT,Madrid-ES,Van,0
254,Liesing-AT,Madrid-ES,Co-loading,0
255,Liesing-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
256,Liesing-AT,Araba (Vitoria)-ES,Swap Body,0
257,Liesing-AT,Araba (Vitoria)-ES,Trailer,0
258,Liesing-AT,Araba (Vitoria)-ES,Van,0
259,Liesing-AT,Araba (Vitoria)-ES,Co-loading,0
260,Wundschuh-AT,Barcelona-ES,2 Swap Bodies,0
261,Wundschuh-AT,Barcelona-ES,Swap Body,0
262,Wundschuh-AT,Barcelona-ES,Trailer,0
263,Wundschuh-AT,Barcelona-ES,Van,0
264,Wundschuh-AT,Barcelona-ES,Co-loading,0
265,Wundschuh-AT,Madrid-ES,2 Swap Bodies,0
266,Wundschuh-AT,Madrid-ES,Swap Body,0
267,Wundschuh-AT,Madrid-ES,Trailer,0
268,Wundschuh-AT,Madrid-ES,Van,0
269,Wundschuh-AT,Madrid-ES,Co-loading,0
270,Wundschuh-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
271,Wundschuh-AT,Araba (Vitoria)-ES,Swap Body,0
272,Wundschuh-AT,Araba (Vitoria)-ES,Trailer,0
273,Wundschuh-AT,Araba (Vitoria)-ES,Van,0
274,Wundschuh-AT,Araba (Vitoria)-ES,Co-loading,0
275,Hub Wien I-AT,Lieto (Turku)-FL,2 Swap Bodies,0
276,Hub Wien I-AT,Lieto (Turku)-FL,Swap Body,0
277,Hub Wien I-AT,Lieto (Turku)-FL,Trailer,0
278,Hub Wien I-AT,Lieto (Turku)-FL,Van,0
279,Hub Wien I-AT,Lieto (Turku)-FL,Co-loading,0
280,Hub Wien I-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
281,Hub Wien I-AT,Vantaa (Helsinki)-FL,Swap Body,0
282,Hub Wien I-AT,Vantaa (Helsinki)-FL,Trailer,0
283,Hub Wien I-AT,Vantaa (Helsinki)-FL,Van,0
284,Hub Wien I-AT,Vantaa (Helsinki)-FL,Co-loading,0
285,Hub Wien II-AT,Lieto (Turku)-FL,2 Swap Bodies,0
286,Hub Wien II-AT,Lieto (Turku)-FL,Swap Body,0
287,Hub Wien II-AT,Lieto (Turku)-FL,Trailer,0
288,Hub Wien II-AT,Lieto (Turku)-FL,Van,0
289,Hub Wien II-AT,Lieto (Turku)-FL,Co-loading,0
290,Hub Wien II-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
291,Hub Wien II-AT,Vantaa (Helsinki)-FL,Swap Body,0
292,Hub Wien II-AT,Vantaa (Helsinki)-FL,Trailer,0
293,Hub Wien II-AT,Vantaa (Helsinki)-FL,Van,0
294,Hub Wien II-AT,Vantaa (Helsinki)-FL,Co-loading,0
295,Hub Graz-AT,Lieto (Turku)-FL,2 Swap Bodies,0
296,Hub Graz-AT,Lieto (Turku)-FL,Swap Body,0
297,Hub Graz-AT,Lieto (Turku)-FL,Trailer,0
298,Hub Graz-AT,Lieto (Turku)-FL,Van,0
299,Hub Graz-AT,Lieto (Turku)-FL,Co-loading,0
300,Hub Graz-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
301,Hub Graz-AT,Vantaa (Helsinki)-FL,Swap Body,0
302,Hub Graz-AT,Vantaa (Helsinki)-FL,Trailer,0
303,Hub Graz-AT,Vantaa (Helsinki)-FL,Van,0
304,Hub Graz-AT,Vantaa (Helsinki)-FL,Co-loading,0
305,Hagenbrunn-AT,Lieto (Turku)-FL,2 Swap Bodies,0
306,Hagenbrunn-AT,Lieto (Turku)-FL,Swap Body,0
307,Hagenbrunn-AT,Lieto (Turku)-FL,Trailer,0
308,Hagenbrunn-AT,Lieto (Turku)-FL,Van,0
309,Hagenbrunn-AT,Lieto (Turku)-FL,Co-loading,0
310,Hagenbrunn-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
311,Hagenbrunn-AT,Vantaa (Helsinki)-FL,Swap Body,0
312,Hagenbrunn-AT,Vantaa (Helsinki)-FL,Trailer,0
313,Hagenbrunn-AT,Vantaa (Helsinki)-FL,Van,0
314,Hagenbrunn-AT,Vantaa (Helsinki)-FL,Co-loading,0
315,Allhaming-AT,Lieto (Turku)-FL,2 Swap Bodies,0
316,Allhaming-AT,Lieto (Turku)-FL,Swap Body,0
317,Allhaming-AT,Lieto (Turku)-FL,Trailer,0
318,Allhaming-AT,Lieto (Turku)-FL,Van,0
319,Allhaming-AT,Lieto (Turku)-FL,Co-loading,0
320,Allhaming-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
321,Allhaming-AT,Vantaa (Helsinki)-FL,Swap Body,0
322,Allhaming-AT,Vantaa (Helsinki)-FL,Trailer,0
323,Allhaming-AT,Vantaa (Helsinki)-FL,Van,0
324,Allhaming-AT,Vantaa (Helsinki)-FL,Co-loading,0
325,Enns-AT,Lieto (Turku)-FL,2 Swap Bodies,0
326,Enns-AT,Lieto (Turku)-FL,Swap Body,0
327,Enns-AT,Lieto (Turku)-FL,Trailer,0
328,Enns-AT,Lieto (Turku)-FL,Van,0
329,Enns-AT,Lieto (Turku)-FL,Co-loading,0
330,Enns-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
331,Enns-AT,Vantaa (Helsinki)-FL,Swap Body,0
332,Enns-AT,Vantaa (Helsinki)-FL,Trailer,0
333,Enns-AT,Vantaa (Helsinki)-FL,Van,0
334,Enns-AT,Vantaa (Helsinki)-FL,Co-loading,0
335,Wernberg-AT,Lieto (Turku)-FL,2 Swap Bodies,0
336,Wernberg-AT,Lieto (Turku)-FL,Swap Body,0
337,Wernberg-AT,Lieto (Turku)-FL,Trailer,0
338,Wernberg-AT,Lieto (Turku)-FL,Van,0
339,Wernberg-AT,Lieto (Turku)-FL,Co-loading,0
340,Wernberg-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
341,Wernberg-AT,Vantaa (Helsinki)-FL,Swap Body,0
342,Wernberg-AT,Vantaa (Helsinki)-FL,Trailer,0
343,Wernberg-AT,Vantaa (Helsinki)-FL,Van,0
344,Wernberg-AT,Vantaa (Helsinki)-FL,Co-loading,0
345,Wals-AT,Lieto (Turku)-FL,2 Swap Bodies,0
346,Wals-AT,Lieto (Turku)-FL,Swap Body,0
347,Wals-AT,Lieto (Turku)-FL,Trailer,0
348,Wals-AT,Lieto (Turku)-FL,Van,0
349,Wals-AT,Lieto (Turku)-FL,Co-loading,0
350,Wals-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
351,Wals-AT,Vantaa (Helsinki)-FL,Swap Body,0
352,Wals-AT,Vantaa (Helsinki)-FL,Trailer,0
353,Wals-AT,Vantaa (Helsinki)-FL,Van,0
354,Wals-AT,Vantaa (Helsinki)-FL,Co-loading,0
355,Hall in Tirol-AT,Lieto (Turku)-FL,2 Swap Bodies,0
356,Hall in Tirol-AT,Lieto (Turku)-FL,Swap Body,0
357,Hall in Tirol-AT,Lieto (Turku)-FL,Trailer,0
358,Hall in Tirol-AT,Lieto (Turku)-FL,Van,0
359,Hall in Tirol-AT,Lieto (Turku)-FL,Co-loading,0
360,Hall in Tirol-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
361,Hall in Tirol-AT,Vantaa (Helsinki)-FL,Swap Body,0
362,Hall in Tirol-AT,Vantaa (Helsinki)-FL,Trailer,0
363,Hall in Tirol-AT,Vantaa (Helsinki)-FL,Van,0
364,Hall in Tirol-AT,Vantaa (Helsinki)-FL,Co-loading,0
365,Liesing-AT,Lieto (Turku)-FL,2 Swap Bodies,0
366,Liesing-AT,Lieto (Turku)-FL,Swap Body,0
367,Liesing-AT,Lieto (Turku)-FL,Trailer,0
368,Liesing-AT,Lieto (Turku)-FL,Van,0
369,Liesing-AT,Lieto (Turku)-FL,Co-loading,0
370,Liesing-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
371,Liesing-AT,Vantaa (Helsinki)-FL,Swap Body,0
372,Liesing-AT,Vantaa (Helsinki)-FL,Trailer,0
373,Liesing-AT,Vantaa (Helsinki)-FL,Van,0
374,Liesing-AT,Vantaa (Helsinki)-FL,Co-loading,0
375,Wundschuh-AT,Lieto (Turku)-FL,2 Swap Bodies,0
376,Wundschuh-AT,Lieto (Turku)-FL,Swap Body,0
377,Wundschuh-AT,Lieto (Turku)-FL,Trailer,0
378,Wundschuh-AT,Lieto (Turku)-FL,Van,0
379,Wundschuh-AT,Lieto (Turku)-FL,Co-loading,0
380,Wundschuh-AT,Vantaa (Helsinki)-FL,2 Swap Bodies,0
381,Wundschuh-AT,Vantaa (Helsinki)-FL,Swap Body,0
382,Wundschuh-AT,Vantaa (Helsinki)-FL,Trailer,0
383,Wundschuh-AT,Vantaa (Helsinki)-FL,Van,0
384,Wundschuh-AT,Vantaa (Helsinki)-FL,Co-loading,0
385,Hub Wien I-AT,Combs la ville-FR,2 Swap Bodies,0
386,Hub Wien I-AT,Combs la ville-FR,Swap Body,0
387,Hub Wien I-AT,Combs la ville-FR,Trailer,0
388,Hub Wien I-AT,Combs la ville-FR,Van,0
389,Hub Wien I-AT,Combs la ville-FR,Co-loading,0
390,Hub Wien II-AT,Combs la ville-FR,2 Swap Bodies,0
391,Hub Wien II-AT,Combs la ville-FR,Swap Body,0
392,Hub Wien II-AT,Combs la ville-FR,Trailer,0
393,Hub Wien II-AT,Combs la ville-FR,Van,0
394,Hub Wien II-AT,Combs la ville-FR,Co-loading,0
395,Hub Graz-AT,Combs la ville-FR,2 Swap Bodies,0
396,Hub Graz-AT,Combs la ville-FR,Swap Body,0
397,Hub Graz-AT,Combs la ville-FR,Trailer,0
398,Hub Graz-AT,Combs la ville-FR,Van,0
399,Hub Graz-AT,Combs la ville-FR,Co-loading,0
400,Hagenbrunn-AT,Combs la ville-FR,2 Swap Bodies,0
401,Hagenbrunn-AT,Combs la ville-FR,Swap Body,0
402,Hagenbrunn-AT,Combs la ville-FR,Trailer,0
403,Hagenbrunn-AT,Combs la ville-FR,Van,0
404,Hagenbrunn-AT,Combs la ville-FR,Co-loading,0
405,Allhaming-AT,Combs la ville-FR,2 Swap Bodies,0
406,Allhaming-AT,Combs la ville-FR,Swap Body,0
407,Allhaming-AT,Combs la ville-FR,Trailer,0
408,Allhaming-AT,Combs la ville-FR,Van,0
409,Allhaming-AT,Combs la ville-FR,Co-loading,0
410,Enns-AT,Combs la ville-FR,2 Swap Bodies,0
411,Enns-AT,Combs la ville-FR,Swap Body,0
412,Enns-AT,Combs la ville-FR,Trailer,0
413,Enns-AT,Combs la ville-FR,Van,0
414,Enns-AT,Combs la ville-FR,Co-loading,0
415,Wernberg-AT,Combs la ville-FR,2 Swap Bodies,0
416,Wernberg-AT,Combs la ville-FR,Swap Body,0
417,Wernberg-AT,Combs la ville-FR,Trailer,0
418,Wernberg-AT,Combs la ville-FR,Van,0
419,Wernberg-AT,Combs la ville-FR,Co-loading,0
420,Wals-AT,Combs la ville-FR,2 Swap Bodies,0
421,Wals-AT,Combs la ville-FR,Swap Body,0
422,Wals-AT,Combs la ville-FR,Trailer,0
423,Wals-AT,Combs la ville-FR,Van,0
424,Wals-AT,Combs la ville-FR,Co-loading,0
425,Hall in Tirol-AT,Combs la ville-FR,2 Swap Bodies,0
426,Hall in Tirol-AT,Combs la ville-FR,Swap Body,0
427,Hall in Tirol-AT,Combs la ville-FR,Trailer,0
428,Hall in Tirol-AT,Combs la ville-FR,Van,0
429,Hall in Tirol-AT,Combs la ville-FR,Co-loading,0
430,Liesing-AT,Combs la ville-FR,2 Swap Bodies,0
431,Liesing-AT,Combs la ville-FR,Swap Body,0
432,Liesing-AT,Combs la ville-FR,Trailer,0
433,Liesing-AT,Combs la ville-FR,Van,0
434,Liesing-AT,Combs la ville-FR,Co-loading,0
435,Wundschuh-AT,Combs la ville-FR,2 Swap Bodies,0
436,Wundschuh-AT,Combs la ville-FR,Swap Body,0
437,Wundschuh-AT,Combs la ville-FR,Trailer,0
438,Wundschuh-AT,Combs la ville-FR,Van,0
439,Wundschuh-AT,Combs la ville-FR,Co-loading,0
440,Hub Wien I-AT,Slough-GB,2 Swap Bodies,0
441,Hub Wien I-AT,Slough-GB,Swap Body,0
442,Hub Wien I-AT,Slough-GB,Trailer,0
443,Hub Wien I-AT,Slough-GB,Van,0
444,Hub Wien I-AT,Slough-GB,Co-loading,0
445,Hub Wien I-AT,Ryton Gateway-GB,2 Swap Bodies,0
446,Hub Wien I-AT,Ryton Gateway-GB,Swap Body,0
447,Hub Wien I-AT,Ryton Gateway-GB,Trailer,0
448,Hub Wien I-AT,Ryton Gateway-GB,Van,0
449,Hub Wien I-AT,Ryton Gateway-GB,Co-loading,0
450,Hub Wien II-AT,Slough-GB,2 Swap Bodies,0
451,Hub Wien II-AT,Slough-GB,Swap Body,0
452,Hub Wien II-AT,Slough-GB,Trailer,0
453,Hub Wien II-AT,Slough-GB,Van,0
454,Hub Wien II-AT,Slough-GB,Co-loading,0
455,Hub Wien II-AT,Ryton Gateway-GB,2 Swap Bodies,0
456,Hub Wien II-AT,Ryton Gateway-GB,Swap Body,0
457,Hub Wien II-AT,Ryton Gateway-GB,Trailer,0
458,Hub Wien II-AT,Ryton Gateway-GB,Van,0
