,From,To,Truck type,Frequency
126,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
127,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
128,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
129,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
130,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
131,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
132,PZ 46 (Dorsten)-DE,Ryton Gateway-GB,Trailer,5
133,PZ 46 (Dorsten)-DE,Ryton Gateway-GB,Trailer,6
134,PZ 46 (Dorsten)-DE,Ryton Gateway-GB,Trailer,5
135,Hub Wien I-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
136,Hub Wien I-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
137,Hagenbrunn-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
138,Allhaming-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
139,Allhaming-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
140,Allhaming-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
141,Allhaming-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
142,Allhaming-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
143,Enns-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
144,Wernberg-AT,PZ 93 (Regensburg)-DE,2 swap bodies,5
145,PZ 93 (Regensburg)-DE,Hub Wien I-AT,2 swap bodies,5
146,PZ 93 (Regensburg)-DE,Hub Wien I-AT,2 swap bodies,5
147,PZ 93 (Regensburg)-DE,Hub Wien I-AT,2 swap bodies,5
148,PZ 93 (Regensburg)-DE,Hub Wien I-AT,2 swap bodies,5
149,PZ 93 (Regensburg)-DE,Hub Wien I-AT,2 swap bodies,5
150,PZ 93 (Regensburg)-DE,Liesing-AT,2 swap bodies,5
151,PZ 93 (Regensburg)-DE,Liesing-AT,2 swap bodies,5
152,PZ 93 (Regensburg)-DE,Hagenbrunn-AT,2 swap bodies,5
153,PZ 93 (Regensburg)-DE,Hagenbrunn-AT,2 swap bodies,5
154,PZ 93 (Regensburg)-DE,Hagenbrunn-AT,2 swap bodies,5
155,PZ 93 (Regensburg)-DE,Hagenbrunn-AT,2 swap bodies,5
156,PZ 93 (Regensburg)-DE,Hagenbrunn-AT,2 swap bodies,5
157,PZ 93 (Regensburg)-DE,Hagenbrunn-AT,2 swap bodies,1
158,PZ 93 (Regensburg)-DE,Hub Wien II-AT,2 swap bodies,5
159,PZ 93 (Regensburg)-DE,Hub Wien II-AT,2 swap bodies,5
160,PZ 93 (Regensburg)-DE,Allhaming-AT,2 swap bodies,5
161,PZ 93 (Regensburg)-DE,Allhaming-AT,2 swap bodies,5
162,PZ 93 (Regensburg)-DE,Allhaming-AT,2 swap bodies,5
163,PZ 93 (Regensburg)-DE,Allhaming-AT,2 swap bodies,5
164,PZ 93 (Regensburg)-DE,Allhaming-AT,2 swap bodies,5
165,PZ 93 (Regensburg)-DE,Wals-AT,2 swap bodies,5
166,PZ 93 (Regensburg)-DE,Wals-AT,2 swap bodies,5
167,PZ 93 (Regensburg)-DE,Enns-AT,2 swap bodies,5
168,PZ 93 (Regensburg)-DE,Enns-AT,2 swap bodies,5
169,PZ 93 (Regensburg)-DE,Enns-AT,2 swap bodies,5
170,PZ 93 (Regensburg)-DE,Hub Graz-AT,2 swap bodies,5
171,PZ 93 (Regensburg)-DE,Hub Graz-AT,2 swap bodies,5
172,PZ 93 (Regensburg)-DE,Hub Graz-AT,2 swap bodies,5
173,PZ 93 (Regensburg)-DE,Hub Graz-AT,2 swap bodies,1
174,PZ 93 (Regensburg)-DE,Wundschuh-AT,2 swap bodies,5
175,PZ 93 (Regensburg)-DE,Wundschuh-AT,2 swap bodies,5
176,PZ 93 (Regensburg)-DE,Wernberg-AT,2 swap bodies,5
177,PZ 93 (Regensburg)-DE,Wernberg-AT,2 swap bodies,5
178,PZ 93 (Regensburg)-DE,Hall in Tirol-AT,2 swap bodies,5
179,PZ 93 (Regensburg)-DE,Hall in Tirol-AT,2 swap bodies,2
180,Zabrze-PL,Hagenbrunn-AT,Trailer,5
181,Brno-CZ,Hagenbrunn-AT,Trailer,5
182,Brno-CZ,Ivanka pri Dunaji-SK,Cargo 50 m3,5
183,Hradec Kralove - Brezhrad-CZ,Zilina- Strecno-SK,2 swap bodies,5
184,Olomouc-CZ,Zilina- Strecno-SK,2 swap bodies,5
185,Ostrava-CZ,Zilina- Strecno-SK,Cargo 50 m3,5
186,Ostrava-CZ,Zilina- Strecno-SK,Cargo 50 m3,5
187,Ostrava-CZ,Zilina- Strecno-SK,Van 22m3,5
188,Ricany -CZ,Ivanka pri Dunaji-SK,4 swap bodies,5
189,Zlin-CZ,Zilina- Strecno-SK,Van 15 m3,5
190,Ivanka pri Dunaji-SK,Ricany -CZ,Trailer,5
191,Brno-CZ,Budapest OLK-HU,Van 15 m3,5
192,Budapest NPKK (OE)-HU,PZ 93 (Regensburg)-DE,Van,6
193,Helsingborg-SE,PZ 24 (Neumünster)-DE,Trailer,5
194,Kaunas-LT,PZ 04 (Radefeld/Leipzig)-DE,Trailer,4
