,Origin,Dest.,Transit,agg,city,DE,DIRECT,NL,PL,LT,FI,SK,ES,CZ
77,BG,PT,DE,BGPT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,BG,RO,DIRECT,BGRO,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,BG,SE,DE,BGSE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,BG,SI,DE,BGSI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,BG,SK,DIRECT,BGSK,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,BG,CY,DE,BGCY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,BG,IT,DE,BGIT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,CZ,AT,DIRECT,CZAT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,CZ,BE,DE,CZBE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,CZ,BG,DE,CZBG,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,CZ,CZ,,CZCZ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,CZ,DE,DIRECT,CZDE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,CZ,DK,DE,CZDK,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,CZ,EE,"PL
LT",CZEE,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
91,CZ,ES,DE,CZES,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,CZ,FI,DE,CZFI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,CZ,FR,DE,CZFR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,CZ,GB,DE,CZGB,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,CZ,GR,DE,CZGR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,CZ,HR,DE,CZHR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,CZ,HU,DIRECT,CZHU,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,CZ,IE,DE,CZIE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,CZ,LT,PL,CZLT,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,CZ,LU,DE,CZLU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,CZ,LV,"PL
LT",CZLV,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
102,CZ,NL,DE,CZNL,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,CZ,NO,,CZNO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,CZ,PL,DIRECT,CZPL,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,CZ,PT,DE,CZPT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,CZ,RO,DE,CZRO,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,CZ,SE,DE,CZSE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,CZ,SI,DE,CZSI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,CZ,SK,DIRECT,CZSK,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,CZ,CY,DE,CZCY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,CZ,IT,DE,CZIT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,DE,AT,DIRECT,DEAT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,DE,BE,DIRECT,DEBE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,DE,BG,DIRECT,DEBG,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,DE,CZ,DIRECT,DECZ,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,DE,DE,,DEDE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,DE,DK,DIRECT,DEDK,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,DE,EE,LT,DEEE,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,DE,ES,DIRECT,DEES,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,DE,FI,DIRECT,DEFI,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,DE,FR,DIRECT,DEFR,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,DE,GB,DIRECT,DEGB,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,DE,GR,DIRECT,DEGR,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,DE,HR,DIRECT,DEHR,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,DE,HU,DIRECT,DEHU,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,DE,IE,DIRECT,DEIE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,DE,LT,DIRECT,DELT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,DE,LU,DIRECT,DELU,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,DE,LV,LT,DELV,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,DE,NL,DIRECT,DENL,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,DE,NO,,DENO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,DE,PL,DIRECT,DEPL,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,DE,PT,DIRECT,DEPT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,DE,RO,DIRECT,DERO,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,DE,SE,DIRECT,DESE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,DE,SI,DIRECT,DESI,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,DE,SK,DIRECT,DESK,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,DE,CY,DE,DECY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,DE,IT,DIRECT,DEIT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,DK,AT,,DKAT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,DK,BE,,DKBE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,DK,BG,,DKBG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,DK,CZ,,DKCZ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,DK,DE,,DKDE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,DK,DK,,DKDK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,DK,EE,,DKEE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,DK,ES,,DKES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,DK,FI,,DKFI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,DK,FR,,DKFR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,DK,GB,,DKGB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,DK,GR,,DKGR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,DK,HR,,DKHR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,DK,HU,,DKHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,DK,IE,,DKIE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,DK,LT,,DKLT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,DK,LU,,DKLU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,DK,LV,,DKLV,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,DK,NL,,DKNL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,DK,NO,,DKNO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,DK,PL,,DKPL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,DK,PT,,DKPT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,DK,RO,,DKRO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,DK,SE,,DKSE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
