,Origin Country,Destination Country,From,To,Distance,Duration,est_tt
114,AT,NO,Hub Wien I-AT,Oslo-NO,1725.366,17.633333333333333,42.086666666666666
115,AT,PL,Hub Wien I-AT,Suwałki (Ełk)-PL,932.226,9.7,22.979999999999997
116,AT,PL,Hub Wien I-AT,Poznań-PL,726.214,7.5,11.9
117,AT,PL,Hub Wien I-AT,Zabrze-PL,380.602,3.8,6.719999999999999
118,AT,PL,Hub Wien I-AT,Koninko-PL,706.649,7.266666666666666,11.573333333333332
119,AT,PL,Hub Wien I-AT,Wrocław-PL,569.514,5.383333333333334,8.936666666666667
120,AT,PL,Hub Wien I-AT,Bydgoszcz (Solec Kujawski)-PL,772.344,7.4,11.76
121,AT,PT,Hub Wien I-AT,Lisboa-PT,2891.059,25.7,53.379999999999995
122,AT,RO,Hub Wien I-AT,Oradea-RO,510.144,5.733333333333333,9.426666666666666
123,AT,SE,Hub Wien I-AT,Stockholm - Västberga-SE,1758.892,17.716666666666665,42.203333333333326
124,AT,SE,Hub Wien I-AT,Helsingborg-SE,1214.601,12.866666666666667,27.41333333333333
125,AT,SE,Hub Wien I-AT,Arlöv-SE,1164.007,12.400000000000002,26.76
126,AT,SE,Hub Wien I-AT,Malmö-SE,1162.62,12.349999999999998,26.689999999999994
127,AT,SI,Hub Wien I-AT,Ljubljana-SI,373.771,3.533333333333333,6.346666666666666
128,AT,SK,Hub Wien I-AT,Bratislava - Raca-SK,102.93,1.2,3.08
129,AT,SK,Hub Wien I-AT,Bratislava - Petrzalka-SK,86.829,0.9666666666666668,2.7533333333333334
130,AT,SK,Hub Wien I-AT,Zilina- Strecno-SK,295.706,2.9333333333333336,5.506666666666666
131,AT,AT,Hub Wien I-AT,Allhaming-AT,191.952,1.7666666666666666,3.873333333333333
132,AT,AT,Hub Wien I-AT,Hagenbrunn-AT,39.904,0.6333333333333333,2.2866666666666666
133,AT,SK,Hub Wien I-AT,Ivanka pri Dunaji-SK,102.043,1.1166666666666667,2.963333333333333
134,AT,AT,Hub Wien I-AT,Enns-AT,165.625,1.5666666666666669,3.5933333333333333
135,AT,SE,Hub Wien I-AT,Göteborg-SE,1430.397,14.783333333333335,30.096666666666668
136,AT,DE,Hub Wien I-AT,PZ 24 (Neumünster)-DE,1042.822,9.3,22.419999999999998
137,AT,CZ,Hub Wien I-AT,Ricany -CZ,325.287,3.3333333333333335,6.066666666666666
138,AT,CZ,Hub Wien I-AT,Olomouc-CZ,219.754,2.4166666666666665,4.783333333333333
139,AT,IE,Hub Wien I-AT,Dublin-IE,2026.385,21.816666666666666,47.94333333333333
140,AT,AT,Hub Wien I-AT,Hall in Tirol-AT,471.721,4.25,7.35
141,AT,AT,Hub Wien I-AT,Hub Wien II-AT,38.614,0.6333333333333333,2.2866666666666666
142,AT,AT,Hub Wien I-AT,Liesing-AT,1.402,0.06666666666666667,1.4933333333333332
143,AT,AT,Hub Wien I-AT,Wals-AT,203.941,1.9,4.06
144,AT,AT,Hub Wien I-AT,Wundschuh-AT,197.09,1.85,3.9899999999999998
145,AT,AT,Hub Wien I-AT,Wernberg-AT,343.435,3.1833333333333336,5.856666666666667
146,AT,DE,Hub Wien I-AT,PZ 44 (Bochum) [im Bau]-DE,938.786,7.700000000000001,12.180000000000001
147,AT,CZ,Hub Wien I-AT,Zlin-CZ,230.878,2.5,4.9
148,BE,AT,Brüssel-BE,Hub Graz-AT,1122.758,9.466666666666667,22.65333333333333
149,BE,AT,Brüssel-BE,Hub Wien I-AT,1111.572,9.266666666666667,22.373333333333335
150,BE,BE,Brüssel-BE,Brüssel-BE,0.0,0.0,1.4
151,BE,BG,Brüssel-BE,Sofia-BG,2069.106,18.633333333333333,43.486666666666665
152,BE,CZ,Brüssel-BE,Brno-CZ,1112.703,9.383333333333333,22.53666666666666
153,BE,CZ,Brüssel-BE,Ostrava-CZ,1270.903,10.566666666666666,24.193333333333328
154,BE,CZ,Brüssel-BE,Krupka 1-CZ,845.591,7.166666666666666,11.433333333333332
155,BE,CZ,Brüssel-BE,Plzen 1-CZ,809.185,6.783333333333333,10.896666666666667
156,BE,CZ,Brüssel-BE,Hradec Kralove - Brezhrad-CZ,1013.666,8.616666666666667,21.46333333333333
157,BE,DE,Brüssel-BE,PZ 67 (Speyer)-DE,446.097,4.0,7.0
158,BE,DE,Brüssel-BE,PZ 50 (Köln)-DE,210.322,1.9166666666666665,4.083333333333333
159,BE,DE,Brüssel-BE,PZ 04 (Radefeld/Leipzig)-DE,680.693,5.8,9.52
160,BE,DE,Brüssel-BE,PZ 90 (Feucht/Nürnberg)-DE,633.149,5.25,8.75
161,BE,DE,Brüssel-BE,PZ 77 (Lahr)-DE,484.802,4.6,7.84
162,BE,DE,Brüssel-BE,PZ 93 (Regensburg)-DE,719.596,5.95,9.73
163,BE,DE,Brüssel-BE,PZ 21 (Hamburg)-DE,585.269,4.983333333333333,8.376666666666667
164,BE,DE,Brüssel-BE,PZ 46 (Dorsten)-DE,253.004,2.4166666666666665,4.783333333333333
165,BE,DE,Brüssel-BE,PZ 58 (Hagen)-DE,267.921,2.533333333333333,4.946666666666666
166,BE,DE,Brüssel-BE,PZ 08 (Neumark)-DE,696.295,5.983333333333333,9.776666666666667
167,BE,DE,Brüssel-BE,PZ 47 (Krefeld)-DE,191.999,1.7666666666666666,3.873333333333333
168,BE,DE,Brüssel-BE,PZ 15 (Rüdersdorf)-DE,790.16,6.616666666666667,10.663333333333334
