,Unnamed: 0,Ori. ,Dest.,Connect movement,Org. GTW,Dst. GTW,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,index,Frequency,From,To
138,138,AT,DE,Y,Allhaming,Regensburg,X,X,X,X,X,,,2 swap bodies,138,5,Allhaming-AT,PZ 93 (Regensburg)-DE
139,139,AT,DE,Y,Allhaming,Regensburg,X,X,X,X,X,,,2 swap bodies,139,5,Allhaming-AT,PZ 93 (Regensburg)-DE
140,140,AT,DE,Y,Allhaming,Regensburg,X,X,X,X,X,,,2 swap bodies,140,5,Allhaming-AT,PZ 93 (Regensburg)-DE
141,141,AT,DE,Y,Allhaming,Regensburg,X,X,X,X,X,,,2 swap bodies,141,5,Allhaming-AT,PZ 93 (Regensburg)-DE
142,142,AT,DE,Y,Allhaming,Regensburg,X,X,X,X,X,,,2 swap bodies,142,5,Allhaming-AT,PZ 93 (Regensburg)-DE
143,143,AT,DE,Y,Enns,Regensburg,X,X,X,X,X,,,2 swap bodies,143,5,Enns-AT,PZ 93 (Regensburg)-DE
144,144,AT,DE,Y,Wernberg,Regensburg,X,X,X,X,X,,,2 swap bodies,144,5,Wernberg-AT,PZ 93 (Regensburg)-DE
145,145,DE,AT,Y,Regensburg,Wien 1,X,X,X,X,X,,,2 swap bodies,145,5,PZ 93 (Regensburg)-DE,Hub Wien I-AT
146,146,DE,AT,Y,Regensburg,Wien 1,X,X,X,X,X,,,2 swap bodies,146,5,PZ 93 (Regensburg)-DE,Hub Wien I-AT
147,147,DE,AT,Y,Regensburg,Wien 1,X,X,X,X,X,,,2 swap bodies,147,5,PZ 93 (Regensburg)-DE,Hub Wien I-AT
148,148,DE,AT,Y,Regensburg,Wien 1,X,X,X,X,X,,,2 swap bodies,148,5,PZ 93 (Regensburg)-DE,Hub Wien I-AT
149,149,DE,AT,Y,Regensburg,Wien 1,X,X,X,X,X,,,2 swap bodies,149,5,PZ 93 (Regensburg)-DE,Hub Wien I-AT
150,150,DE,AT,Y,Regensburg,Liesing,X,X,X,X,X,,,2 swap bodies,150,5,PZ 93 (Regensburg)-DE,Liesing-AT
151,151,DE,AT,Y,Regensburg,Liesing,X,X,X,X,X,,,2 swap bodies,151,5,PZ 93 (Regensburg)-DE,Liesing-AT
