,City,Ref_City,Country
379,Bielsko-Biała,Bielsko,PL
380,Ciechanów,Ciechanów,PL
381,Częstochowa,Częstochowa,PL
382,Gdańsk,Gdańsk,PL
383,Gorzów Wielkopolski,Gorzów Wielkopolski,PL
384,Jelenia Góra,Jelenia Góra,PL
385,Kalisz,Kalisz,PL
386,Kielce,Kielce,PL
387,Konin,Konin,PL
388,Koszalin,Koszalin,PL
389,Kraków (Niepołomice),Kraków (Niepołomice),PL
390,Legnica,Legnica,PL
391,Łódź,Łódź,PL
392,Łomża,Łomża,PL
393,Lublin,Lublin,PL
394,Moszna Parcela,Moszna Parcela,PL
395,Nowy Sącz,Nowy Sącz,PL
396,Olsztyn,Olsztyn,PL
397,Opole,Opole,PL
398,Piła,Piła,PL
399,Piotrków Trybunalski,Piotrków Trybunalski,PL
400,Płock,Płock,PL
401,Radom,Radom,PL
402,Rzeszów,Rzeszów,PL
403,Siedlce,Siedlce,PL
404,Słupsk (Kobylnica),Słupsk (Kobylnica),PL
405,Szczecin,Szczecin,PL
406,Tarnobrzeg (Sandomierz),Tarnobrzeg (Sandomierz),PL
407,Tarnów,Tarnów,PL
408,Tychy,Tychy,PL
409,Wałbrzych,Wałbrzych,PL
410,Warszawa,Warszawa,PL
411,Włocławek,Włocławek,PL
412,Zielona Góra,Zielona Góra,PL
413,Lisbon,Lisboa,PT
414,Coimbra,Coimbra,PT
415,Évora,Évora,PT
416,Faro,Faro,PT
417,Porto,Porto,PT
418,Vila Real,Vila Real,PT
419,Oradea,Oradea,RO
420,Bucuresti,Bucuresti,RO
421,Göteborg,Göteborg,SE
422,Stockholm,Stockholm - Västberga,SE
423,Helsingborg,Helsingborg,SE
424,ARLÖV,Arlöv,SE
425,Malmö,Malmö,SE
426,Växjö,Växjö,SE
427,Stockholm - Rosersberg,Stockholm - Västberga,SE
428,Borlänge,Borlänge,SE
429,Borås,Borås,SE
430,Eskilstuna,Eskilstuna,SE
431,Gävle,Gävle,SE
432,Halmstad,Halmstad,SE
